2026-05-06 09:34:50 | WARNING  | hmmlearn.base        | report                              | Model is not converging.  Current: 172040.7142870791 is not greater than 172107.0424457365. Delta is -66.32815865738667
2026-05-06 11:40:18 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-05-06 11:40:18 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-06 11:40:18 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-06 11:40:18 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-06 11:40:18 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-06 11:40:20 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-05-06 11:40:21 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-05-06 11:40:21 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v9.5  —  session start
2026-05-06 11:40:21 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\v2\ggth_predictor.log
